Ano;Estado;Sigla;NDVI_Medio;Regiao;Temp_Media_C;Chuva_Media_Anual_mm
2019;Acre;AC;0,3839399083266936;Norte;27,961342;
2019;Amazonas;AM;0,5437067949806839;Norte;28,025076;
2019;Pará;PA;0,559465310680715;Norte;28,267792;
2019;Amapá;AP;0,3594360176821065;Norte;26,99597;
2019;Tocantins;TO;0,4420844906894597;Norte;33,37244;
2019;Maranhão;MA;0,3547078182572872;Nordeste;31,512125;
2019;Piauí;PI;0,3774668987027291;Nordeste;34,194477;
2019;Ceará;CE;0,4634847542289976;Nordeste;33,73182;
2019;Rio Grande do Norte;RN;0,4233832080222882;Nordeste;34,748165;
2019;Paraíba;PB;0,3873092677712453;Nordeste;34,03069;
2019;Pernambuco;PE;0,1617026050967138;Nordeste;33,68977;
2019;Alagoas;AL;0,3547549218143959;Nordeste;32,570152;
2019;Sergipe;SE;0,3952297352419081;Nordeste;32,189262;
2019;Bahia;BA;0,3857264338804378;Nordeste;33,25317;
2019;Minas Gerais;MG;0,4337227138233258;Sudeste;30,135162;
2019;Espírito Santo;ES;0,1819960954299361;Sudeste;29,393114;
2019;Rio de Janeiro;RJ;0,319136955154339;Sudeste;28,505503;
2019;São Paulo;SP;0,3478393207986824;Sudeste;29,510986;
2019;Paraná;PR;0,5346078539932854;Sul;27,208996;
2019;Santa Catarina;SC;0,3639330101186911;Sul;23,383467;
2019;Rio Grande do Sul;RS;0,406139093610818;Sul;24,64218;
2019;Mato Grosso do Sul;MS;0,4489820549820291;Centro-Oeste;32,166042;
2019;Mato Grosso;MT;0,4983771374833965;Centro-Oeste;31,386011;
2019;Goiás;GO;0,4869067029136012;Centro-Oeste;32,89797;
2019;Distrito Federal;DF;0,6480635227272727;Centro-Oeste;31,55514;
2019;Rondônia;RO;0,3918431188551721;Norte;30,039839;
2019;Roraima;RR;0,3915419289173409;Norte;29,356962;
2020;Acre;AC;0,3852779657299398;Norte;28,37685;1449,845947265625
2020;Amazonas;AM;0,545498534535969;Norte;28,369385;2305,82177734375
2020;Pará;PA;0,5585270875971986;Norte;28,69269;1897,7708740234373
2020;Amapá;AP;0,359101326394587;Norte;26,9976;2460,53759765625
2020;Tocantins;TO;0,4437678428328463;Norte;33,29826;1163,5975341796875
2020;Maranhão;MA;0,3554891133820621;Nordeste;31,275042;2080,685302734375
2020;Piauí;PI;0,3854145321880805;Nordeste;32,797024;2108,786376953125
2020;Ceará;CE;0,4719575344507;Nordeste;32,82586;2821,541259765625
2020;Rio Grande do Norte;RN;0,4237338280071075;Nordeste;33,78742;3239,038330078125
2020;Paraíba;PB;0,4032550092006505;Nordeste;32,675293;2810,615234375
2020;Pernambuco;PE;0,1743201266872499;Nordeste;31,793373;2172,21435546875
2020;Alagoas;AL;0,3692739806750136;Nordeste;30,982306;1713,5479736328125
2020;Sergipe;SE;0,4037230629780002;Nordeste;30,601477;1126,96728515625
2020;Bahia;BA;0,408263831698309;Nordeste;30,525358;756,40478515625
2020;Minas Gerais;MG;0,4452333341457629;Sudeste;28,82834;567,8970336914062
2020;Espírito Santo;ES;0,1853680028897435;Sudeste;27,990452;487,541015625
2020;Rio de Janeiro;RJ;0,3251893425691522;Sudeste;27,400576;458,4141540527344
2020;São Paulo;SP;0,3456872792569882;Sudeste;29,885487;546,7803344726562
2020;Paraná;PR;0,5330989092978069;Sul;27,342817;1101,2564697265625
2020;Santa Catarina;SC;0,3605953917492927;Sul;23,652884;1313,503173828125
2020;Rio Grande do Sul;RS;0,3936114453018026;Sul;25,351542;1162,228271484375
2020;Mato Grosso do Sul;MS;0,4463860214587229;Centro-Oeste;32,66552;688,1231079101562
2020;Mato Grosso;MT;0,4975690213084196;Centro-Oeste;32,144638;789,3314819335938
2020;Goiás;GO;0,495834853827621;Centro-Oeste;32,419945;556,7959594726562
2020;Distrito Federal;DF;0,6600834469696969;Centro-Oeste;30,147373;579,0469360351562
2020;Rondônia;RO;0,3913443696009284;Norte;30,472298;786,0611572265625
2020;Roraima;RR;0,3931549770396408;Norte;29,212767;2523,412841796875
2021;Acre;AC;0,3847270263918855;Norte;27,975475;1596,6424560546875
2021;Amazonas;AM;0,5470934206326115;Norte;27,92548;2597,51171875
2021;Pará;PA;0,5591682965766186;Norte;28,129042;2312,2890625
2021;Amapá;AP;0,3600177617232449;Norte;26,785704;2603,92529296875
2021;Tocantins;TO;0,4452854277615455;Norte;32,84958;893,3468017578125
2021;Maranhão;MA;0,355361918671757;Nordeste;30,59811;1962,5977783203125
2021;Piauí;PI;0,3834706118599492;Nordeste;33,16887;1614,7952880859375
2021;Ceará;CE;0,4622403134424573;Nordeste;33,833046;2883,157470703125
2021;Rio Grande do Norte;RN;0,3888085337429339;Nordeste;36,12467;3151,848876953125
2021;Paraíba;PB;0,3786411404051278;Nordeste;34,482075;2111,91650390625
2021;Pernambuco;PE;0,1669980632563329;Nordeste;32,84002;1316,82421875
2021;Alagoas;AL;0,3690309448958206;Nordeste;31,358839;929,5368041992188
2021;Sergipe;SE;0,4002618584538691;Nordeste;31,443068;755,5465087890625
2021;Bahia;BA;0,3990969231799935;Nordeste;31,683554;538,3896484375
2021;Minas Gerais;MG;0,4422098277974385;Sudeste;28,978802;251,55079650878903
2021;Espírito Santo;ES;0,1828895177911972;Sudeste;28,076488;159,94549560546875
2021;Rio de Janeiro;RJ;0,3228595915894456;Sudeste;27,13313;186,48309326171875
2021;São Paulo;SP;0,3460063087328934;Sudeste;29,715918;286,2535705566406
2021;Paraná;PR;0,5294507107529393;Sul;26,914558;526,7512817382812
2021;Santa Catarina;SC;0,3621585009596929;Sul;22,585295;586,6702270507812
2021;Rio Grande do Sul;RS;0,4099840736825823;Sul;24,498508;704,7776489257812
2021;Mato Grosso do Sul;MS;0,4473247228784808;Centro-Oeste;32,737366;388,7146301269531
2021;Mato Grosso;MT;0,4999392563819219;Centro-Oeste;31,334715;645,355224609375
2021;Goiás;GO;0,4928888172976033;Centro-Oeste;32,074406;404,150390625
2021;Distrito Federal;DF;0,6611657449494949;Centro-Oeste;30,089159;588,3098754882812
2021;Rondônia;RO;0,3904189712240211;Norte;30,188522;941,9437255859376
2021;Roraima;RR;0,3958253114787671;Norte;28,171896;2994,064453125
2022;Acre;AC;0,3845884522072318;Norte;27,82026;2097,829345703125
2022;Amazonas;AM;0,5454277378936162;Norte;27,71499;2711,076171875
2022;Pará;PA;0,5565410861139062;Norte;27,996288;2513,65869140625
2022;Amapá;AP;0,3567448700258716;Norte;26,44708;2524,1005859375
2022;Tocantins;TO;0,4459139918887096;Norte;32,50259;1150,5013427734375
2022;Maranhão;MA;0,3541475906041386;Nordeste;30,21322;2239,146484375
2022;Piauí;PI;0,3854392724332296;Nordeste;31,586296;1878,948486328125
2022;Ceará;CE;0,4735114758293625;Nordeste;30,592442;2768,6025390625
2022;Rio Grande do Norte;RN;0,4288503679228433;Nordeste;32,03722;3083,7587890625
2022;Paraíba;PB;0,405345468844248;Nordeste;30,784277;3040,78857421875
2022;Pernambuco;PE;0,1721617602240747;Nordeste;29,816227;2007,598388671875
2022;Alagoas;AL;0,363039064817713;Nordeste;29,689363;1282,1209716796875
2022;Sergipe;SE;0,3954188034672257;Nordeste;29,761543;835,2742309570312
2022;Bahia;BA;0,4106199878160124;Nordeste;29,899223;484,21282958984375
2022;Minas Gerais;MG;0,4418655971032013;Sudeste;28,088041;346,9861145019531
2022;Espírito Santo;ES;0,1838579340795702;Sudeste;27,646278;498,0377502441406
2022;Rio de Janeiro;RJ;0,3235541044718162;Sudeste;26,559547;517,4263305664062
2022;São Paulo;SP;0,3490844087676285;Sudeste;27,92999;428,910888671875
2022;Paraná;PR;0,5248401049913849;Sul;25,393322;600,6950073242188
2022;Santa Catarina;SC;0,3595069553901491;Sul;22,12049;758,1682739257812
2022;Rio Grande do Sul;RS;0,3902294666492659;Sul;23,935312;922,8568115234376
2022;Mato Grosso do Sul;MS;0,4447957012574038;Centro-Oeste;30,76352;393,40911865234375
2022;Mato Grosso;MT;0,4997489653863756;Centro-Oeste;31,003658;831,406005859375
2022;Goiás;GO;0,4958255439347924;Centro-Oeste;31,645977;493,7293701171875
2022;Distrito Federal;DF;0,6641754924242425;Centro-Oeste;29,73946;719,638427734375
2022;Rondônia;RO;0,3886836005524726;Norte;29,774256;1087,8995361328125
2022;Roraima;RR;0,3942274743958009;Norte;28,03439;2306,6875
2023;Acre;AC;0,3836592496933778;Norte;28,086733;1548,36181640625
2023;Amazonas;AM;0,5454188944184412;Norte;28,206186;2242,094970703125
2023;Pará;PA;0,5555071692801056;Norte;28,568756;1651,85986328125
2023;Amapá;AP;0,355276643972491;Norte;27,065195;1888,155517578125
2023;Tocantins;TO;0,4485897724477781;Norte;32,485023;1203,5621337890625
2023;Maranhão;MA;0,3542905674512142;Nordeste;30,995895;1749,625732421875
2023;Piauí;PI;0,3828509151156277;Nordeste;32,39529;1824,073486328125
2023;Ceará;CE;0,4710738125240928;Nordeste;31,972078;2350,827392578125
2023;Rio Grande do Norte;RN;0,426551334262137;Nordeste;33,194366;2623,852294921875
2023;Paraíba;PB;0,4040288251418274;Nordeste;32,01386;2266,622802734375
2023;Pernambuco;PE;0,1699677427618807;Nordeste;31,482937;1755,0279541015625
2023;Alagoas;AL;0,3583954804643377;Nordeste;30,595465;1478,282470703125
2023;Sergipe;SE;0,3945924122823582;Nordeste;30,571417;1214,299072265625
2023;Bahia;BA;0,4063170088504261;Nordeste;31,312124;923,5317993164062
2023;Minas Gerais;MG;0,4432037457875529;Sudeste;28,692606;748,363525390625
2023;Espírito Santo;ES;0,1823877207669687;Sudeste;27,872435;538,3715209960938
2023;Rio de Janeiro;RJ;0,3236861322542563;Sudeste;27,101513;570,8793334960938
2023;São Paulo;SP;0,355663099813825;Sudeste;27,877882;646,2462768554688
2023;Paraná;PR;0,5366081830649122;Sul;25,286667;676,7826538085938
2023;Santa Catarina;SC;0,3640648803971024;Sul;22,522205;1078,513671875
2023;Rio Grande do Sul;RS;0,4006116916312331;Sul;24,009848;1162,013671875
2023;Mato Grosso do Sul;MS;0,4618421626395405;Centro-Oeste;30,343042;559,827880859375
2023;Mato Grosso;MT;0,4988874690531204;Centro-Oeste;31,10452;1020,8944702148438
2023;Goiás;GO;0,496373089574237;Centro-Oeste;31,706972;717,7283935546875
2023;Distrito Federal;DF;0,6576114393939394;Centro-Oeste;29,594269;577,89111328125
2023;Rondônia;RO;0,3878579006039606;Norte;30,233335;835,6702880859375
2023;Roraima;RR;0,3914402282088448;Norte;29,023916;1933,739990234375
2024;Acre;AC;0,3825871733467024;Norte;27,881659;1500,0784912109375
2024;Amazonas;AM;0,5462043465420303;Norte;28,023273;2304,348876953125
2024;Pará;PA;0,5550058813952703;Norte;28,294249;1767,94287109375
2024;Amapá;AP;0,3551866598660073;Norte;26,505093;2016,1546630859373
2024;Tocantins;TO;0,4464477407875801;Norte;31,989445;1208,9876708984375
2024;Maranhão;MA;0,3522191585325927;Nordeste;30,806023;1900,64306640625
2024;Piauí;PI;0,3855152757689788;Nordeste;31,607027;2327,5791015625
2024;Ceará;CE;0,4707374942500437;Nordeste;30,98751;3067,580078125
2024;Rio Grande do Norte;RN;0,4374418850973002;Nordeste;31,450628;3338,626953125
2024;Paraíba;PB;0,4086129036198854;Nordeste;30,785244;3172,018310546875
2024;Pernambuco;PE;0,1720802940222063;Nordeste;30,41351;2528,547607421875
2024;Alagoas;AL;0,3620595419224017;Nordeste;30,49777;1959,158447265625
2024;Sergipe;SE;0,3959356579046756;Nordeste;30,35444;1268,1341552734375
2024;Bahia;BA;0,4112003163588121;Nordeste;29,367859;781,8364868164062
2024;Minas Gerais;MG;0,4481780150071981;Sudeste;27,662512;370,79144287109375
2024;Espírito Santo;ES;0,1834882344941886;Sudeste;27,767113;306,5227355957031
2024;Rio de Janeiro;RJ;0,3252233010010328;Sudeste;27,257654;373,42388916015625
2024;São Paulo;SP;0,348590885013948;Sudeste;28,251656;718,570068359375
2024;Paraná;PR;0,5305432245442371;Sul;25,704184;887,787841796875
2024;Santa Catarina;SC;0,3628823469348585;Sul;22,047852;1199,4693603515625
2024;Rio Grande do Sul;RS;0,4098049387329115;Sul;22,460918;1212,30224609375
2024;Mato Grosso do Sul;MS;0,4580033025047307;Centro-Oeste;30,893833;717,021484375
2024;Mato Grosso;MT;0,5009900425833529;Centro-Oeste;30,363598;733,0733642578125
2024;Goiás;GO;0,5029402154815642;Centro-Oeste;30,466366;425,3459777832031
2024;Distrito Federal;DF;0,6570131313131313;Centro-Oeste;28,576134;351,5951232910156
2024;Rondônia;RO;0,3947913459573877;Norte;29,698433;817,6665649414062
2024;Roraima;RR;0,3898478013315419;Norte;29,102766;1791,9892578125
